id_tweet,created_at,lang,like_count,quote_count,reply_count,retweet_count,text
1547952816647327749,2022-07-15 14:34:45+00:00,es,389,1,21,185,"¡Aún estás tiempo! Te invitamos a la nueva #AcademiaRepublicana que abordará el proceso constitucional con parte de sus protagonistas. Hoy es último día para inscribirse.¡No te quedes fuera! ✌️

https://t.co/nMpe7hfXgh https://t.co/cVpQIT6h0V"
1547769726071214080,2022-07-15 02:27:13+00:00,zxx,657,14,46,498,https://t.co/VN4WnIdsVp
1547769110146084864,2022-07-15 02:24:46+00:00,es,3531,140,566,2913,Gravísimo: el Gobierno de Gabriel Boric quiere regularizar a 127.000 extranjeros ilegales que entraron por pasos clandestinos. https://t.co/Cz4CHFHfcl
1547732746964852737,2022-07-15 00:00:17+00:00,es,650,3,26,358,La Ministra de Justicia difundiendo noticias falsas de Plataforma Telar! https://t.co/uIj0hPjxju
1547732194486935555,2022-07-14 23:58:05+00:00,es,862,15,68,539,El gobierno dice que va a combatir las noticias falsas con una organización como Plataforma Telar que es experta en hacer noticias falsas y sesgadas. https://t.co/bn7jzQGUwb
1547674965436092425,2022-07-14 20:10:40+00:00,es,6892,131,684,3589,"Lo dice el mismo que viajó a Paris a visitar al asesino de Jaime Guzman, profugo de la justicia chilena desde hace 30 años. https://t.co/yopqSFBnch"
1547673117522178048,2022-07-14 20:03:20+00:00,es,2015,71,303,1229,"Es preocupante la confianza que se tiene el Presidente Gabriel Boric con el triunfo del Apruebo. Si cree que va a arrasar, es porque están dispuestos a romper todas las reglas, usar todos los recursos y trampas para lograrlo. https://t.co/0yyg3eBCEe"
1547669895654936586,2022-07-14 19:50:32+00:00,es,1287,25,76,877,"Una vez más la inexperiencia y el pituto, le ganan a la responsabilidad. Desmantelaron la división jurídica del Ministerio del Interior y la capacidad judicial del gobierno está haciendo agua. Los delincuentes siguen de fiesta. https://t.co/MK6mJSjV5B"
1547640371403845635,2022-07-14 17:53:12+00:00,es,1850,12,113,1034,El Ministro Marcel faltó a la verdad. El bono Apruebo si generará más inflación. https://t.co/QK80tatiHy
1547630866519638023,2022-07-14 17:15:26+00:00,art,414,2,40,126,🤡 https://t.co/o9isuwBUYt
1547630529079496704,2022-07-14 17:14:06+00:00,es,3759,133,459,2479,"“¿Vamos a ganar el Referendum?” Evo Morales, impulsor del Apruebo https://t.co/srRRgK4LO1"
1547587795455131650,2022-07-14 14:24:17+00:00,es,943,11,42,586,"Es hora de que el Ministerio del Interior asuma la responsabilidad por sus graves y continuos errores. Por incompetencia y negligencia, el Gobierno deja de ser querellante en un caso gravisimo. ¿Dónde se corta el hilo? https://t.co/FGEyygS9FE"
1547393136552333313,2022-07-14 01:30:47+00:00,es,3147,45,237,1967,Empezó el control estatal de medios bajo la mirada atenta de Faride Zeran. https://t.co/LbLNMAoyRd
1547351633423638529,2022-07-13 22:45:52+00:00,es,0,0,0,324,RT @yoteacuso_: Porque los narcos tienen tomado nuestros Barrios #YoTeAcuso https://t.co/OcA32lAdbN
1547345005127147520,2022-07-13 22:19:32+00:00,es,1364,8,40,639,"Jaime Naranjo y su familia (conyuge en que sentido), llevan décadas viviendo gracias al Congreso y los recursos de todos los chilenos. La Diputada más joven de Chile no es inexperta, lo que pasa es que el lleva demasiado tiempo abusando del Estado! https://t.co/tzyaLnpBBL"
1547342425085153285,2022-07-13 22:09:17+00:00,es,3561,91,376,2088,"Sin prensa, no se comunica la verdad. Mala práctica de la Presidencia de vetar a periodistas en salidas a terreno. https://t.co/uZyLPTWHso"
1547327532176998400,2022-07-13 21:10:06+00:00,es,1578,15,123,941,Alcalde de Maipú en desacato. Usan los municipios para intervenir electoralmente y abusar de los recursos públicos. Matonaje político y electoral. https://t.co/uWJ4WDD6WC
1547327238856736772,2022-07-13 21:08:56+00:00,es,6931,77,431,3329,"El 10 de Agosto, comienza la preparación del juicio oral en contra del Alcalde Daniel Jadue por prevaricación y negociación incompatible por tráfico de influencias. Comienza el fin de la impunidad del protegido del Partido Comunista. La corrupción ha destruido Recoleta! https://t.co/4eNzDMDMxx"
1547326089873219584,2022-07-13 21:04:22+00:00,es,0,0,0,301,"RT @agustinromerole: La Contraloría nos dio la razón, la @Muni_Maipu debe instruir un sumario, por hacer intervencionismo por el apruebo. E…"
1547315425121271808,2022-07-13 20:21:59+00:00,es,1353,30,226,802,"Empezaron las visitas “sin prensa” del Presidente. Medios de comunicación se convierten en meros buzones de la franja presidencial. Sin preguntas, sin contexto. https://t.co/AkYtj4d1ca"
1547296495392567298,2022-07-13 19:06:46+00:00,es,0,0,0,1209,RT @JoseMezaPereira: LO LOGRAMOS! Primer dictamen de la @Contraloriacl que da cuenta dem intervencionismo de la izquierda de cara a este pl…
1547295460427042817,2022-07-13 19:02:39+00:00,es,0,0,0,276,RT @latercera: 🔴#LaTerceraPM | Columna de Cristián Valenzuela (@crvalenzuela): 1.000 días de indignidad https://t.co/5qtt96Qpan https://t.c…
1547294178316394496,2022-07-13 18:57:34+00:00,es,1625,19,162,989,¿Por qué el Gobierno permite que los terroristas sigan en la impunidad? https://t.co/xxLoJMdgnQ
1547292997686947840,2022-07-13 18:52:52+00:00,es,6549,86,665,2520,"Chile, la alegria ya viene. https://t.co/cyRPf1wNTw"
1547243495810670592,2022-07-13 15:36:10+00:00,es,1529,6,92,679,Los gobiernos de Sebastián Piñera y Gabriel Boric fracasaron en materia de seguridad. Chile vive su hora más crítica y tenemos una Ministra del Interior que no tiene idea como enfrentar el narcotráfico y la delincuencia. https://t.co/9KOn1nxQX8
1547185731046502400,2022-07-13 11:46:38+00:00,es,0,0,0,77,RT @PNfValues: Reserve esta fecha: 26 de julio! https://t.co/Yd416Gi5XB
1547069061300756481,2022-07-13 04:03:02+00:00,es,0,0,0,678,"RT @yoteacuso_: Recoleta se ha convertido en la cuna defensora de los delincuentes. Ya no podemos trabajar, ni vivir en paz. #YoTeAcuso htt…"
1547028388732289024,2022-07-13 01:21:24+00:00,es,0,0,0,454,"RT @DipCristobal: No podemos desentendernos, no podemos cruzarnos de brazos, no podemos encerrarnos en nosotros mismos. Son millones los qu…"
1547025021272330242,2022-07-13 01:08:02+00:00,es,5218,67,378,3170,50 años. Se ganaba la vida como chofer. Apuñalado tres veces por un par de asesinos que le robaron el auto. Otra muerte insensata a consecuencia de un gobierno incompetente. https://t.co/V85VemZQZe
1546996756591742976,2022-07-12 23:15:43+00:00,es,11648,181,787,5268,"La izquierda se negó a publicar los resultados del test de drogas para parlamentarios. Es evidente que varios de ellos consumen y quieren ocultarlo. 

Es urgente que los chilenos sepan si su Presidente, Ministros y Parlamentarios están capturados por el narcotráfico"
1546941808625668096,2022-07-12 19:37:22+00:00,es,2103,13,168,377,"Tranquilo Felipe, todo va a estar bien. ✌️ https://t.co/3Hz9YRpdR2"
1546929168843038721,2022-07-12 18:47:09+00:00,es,0,0,0,281,"RT @SchubertRubio: Con votos del oficialismo, en conjunto con parte de la UDI y Evopoli, la ministra peor evaluada y responsable de la inse…"
1546924564935872512,2022-07-12 18:28:51+00:00,es,0,0,0,675,RT @PRChile: ¡Juzgue usted! La votación demuestra quiénes defendieron a la ministra del Interior (en verde) y quiénes estuvieron del lado d…
1546903330907074561,2022-07-12 17:04:28+00:00,es,0,0,0,320,"RT @BarchiesiDip: Lamentable que quienes “crean en el orden y la seguridad”, se cuadren con un gobierno que se preocupa más del terrorismo…"
